n,time_ms
0 Fibonacci value=0 Fibonacci calls=1 ,0.000125
1 Fibonacci value=1 Fibonacci calls=1 ,4.2e-05
2 Fibonacci value=1 Fibonacci calls=3 ,8.3e-05
3 Fibonacci value=2 Fibonacci calls=5 ,8.3e-05
4 Fibonacci value=3 Fibonacci calls=9 ,0.000166
5 Fibonacci value=5 Fibonacci calls=15 ,0.000209
6 Fibonacci value=8 Fibonacci calls=25 ,0.000167
7 Fibonacci value=13 Fibonacci calls=41 ,0.00025
8 Fibonacci value=21 Fibonacci calls=67 ,0.000417
9 Fibonacci value=34 Fibonacci calls=109 ,0.000625
10 Fibonacci value=55 Fibonacci calls=177 ,0.000958
11 Fibonacci value=89 Fibonacci calls=287 ,0.001708
12 Fibonacci value=144 Fibonacci calls=465 ,0.003416
13 Fibonacci value=233 Fibonacci calls=753 ,0.005708
14 Fibonacci value=377 Fibonacci calls=1219 ,0.007833
15 Fibonacci value=610 Fibonacci calls=1973 ,0.01375
16 Fibonacci value=987 Fibonacci calls=3193 ,0.02325
17 Fibonacci value=1597 Fibonacci calls=5167 ,0.037125
18 Fibonacci value=2584 Fibonacci calls=8361 ,0.060125
19 Fibonacci value=4181 Fibonacci calls=13529 ,0.096333
20 Fibonacci value=6765 Fibonacci calls=21891 ,0.158792
21 Fibonacci value=10946 Fibonacci calls=35421 ,0.256791
22 Fibonacci value=17711 Fibonacci calls=57313 ,0.414625
23 Fibonacci value=28657 Fibonacci calls=92735 ,0.675625
24 Fibonacci value=46368 Fibonacci calls=150049 ,1.08875
25 Fibonacci value=75025 Fibonacci calls=242785 ,1.86275
26 Fibonacci value=121393 Fibonacci calls=392835 ,3.063
27 Fibonacci value=196418 Fibonacci calls=635621 ,4.89904
28 Fibonacci value=317811 Fibonacci calls=1028457 ,7.44879
29 Fibonacci value=514229 Fibonacci calls=1664079 ,11.7126
30 Fibonacci value=832040 Fibonacci calls=2692537 ,19.092
